MGI symbol	NCBI gene ID	Gene Synonym
Tmem181a		Tmem181
Trav5d-4		Gm8713
Ubxn8	108159	D0H8S2298E
Ubxn8	108159	Rep-8
Ubxn8	108159	Rep8h
Ubxn8	108159	Ubxd6
Shc1	20416	p66
Shc1	20416	p66shc
Shc1	20416	ShcA
Gm4911		
Gm15209		
Gm32081		
Tprkb	69786	0610033G21Rik
Tprkb	69786	1810034M08Rik
Tprkb	69786	DRWMS1
Obox4-ps20		Gm3998
Prickle2	243548	6230400G14Rik
Prickle2	243548	6720451F06Rik
Prickle2	243548	mpk2
Gm4912		
Obox4-ps21		Gm4001
Trav6d-7		LOC385047
Gm15305		
Gm32027		
Gm50147		
Obox4-ps22		Gm4003
Trav7d-6		C920008G01Rik
Obox4-ps23		Gm4897
Mastl	67121	2700091H24Rik
Mastl	67121	THC2
Igkv9-120		Gm5571
Defa-ps18		ENSMUSG00000074436
Gm42530		
Gm3261		
9630050E16Rik		
Gm47735		
Gm15309		
5430400D12Rik		
Fermt2	218952	Kindlin-2
Fermt2	218952	Mig2
Fermt2	218952	Plekhc1
Mrip-ps		Gm8086
Gm42417		
Gm19505		
Dhx38	64340	5730550P09Rik
Dhx38	64340	Ddx38
Dhx38	64340	Prp16
Gm34240		
Gm43912		
Gm45739		
Sh2d4a	72281	2210402M20Rik
Sh2d4a	72281	SH2A
Defa42	665927	Gm7849
Tmem150a	232086	Tmem150
Gm3115	100041054	
Ppp1r8	100336	6330548N22Rik
Ppp1r8	100336	NIPP1
Rhox4g	664608	Rhox4.7
Alg2	56737	1110018A23Rik
Alg2	56737	1300013N08Rik
Alg2	56737	ALPG2
Alg2	56737	CDGIi
2210414B05Rik	70143	
Gm8034		
Obox3-ps5		Gm8053
V1rg10		Gm4741
Gm8108		
Gm15304		
Obox4-ps24		
Gm6158		
Gm31392		
Gm3027		
1700013F07Rik		
Defa-ps17		
Strit1		Gm34302
Rhox3h		EG434758
Rhox3h		Rhox3.8
Gtpbp4-ps5		Gm27154
Thnsl1	208967	
Gm12312		
Gm37279		
Gm5259		
Gm28342		
Gm47739		
Gm19170		
Gm17087		
Gm47738		
4930466K18Rik		
C030007H22Rik		
Gm15426		
Sdhaf1		0610010E21Rik
Sdhaf1		Lyrm8
Camsap3	69697	2310057J16Rik
Camsap3	69697	Nezha
Mcm9	71567	9030408O17Rik
Mcm9	71567	Mcmdc1
Gm37859		
1700008B11Rik		
Gm27232		
Gm19280		
5330417C22Rik	229722	
Igkv9-119		
Ccdc6	76551	2810012H18Rik
Rfx7	319758	2510005N23Rik
Rfx7	319758	9930116O05Rik
Rfx7	319758	D130086K05Rik
Rfx7	319758	Rfxdc2
4930432J09Rik	73877	
Gm16552		
Gm50483		
Gm42866		
Pelp1	75273	4930563C04Rik
Pelp1	75273	MNAR
Rnf181	66510	1700047F16Rik
Rnf181	66510	2500002L14Rik
Rnf181	66510	6230415N01Rik
Prss36	77613	C330007D15Rik
Prss36	77613	polyserase-2
4930479H17Rik		Gm44599
Gm9229		
Gm48838		
Gm48354		
Dnaja1	15502	Hsj2
Dnaja1	15502	Nedd7
Igkv14-118-2		
Gm48355		
Gdi2		GDI beta
Gdi2		GDI-B
Gdi2		Gdi3
Gdi2		GDIB
Gm49686		
Igkv14-118-1		
Gm12954		
Gm48044		
2410018L13Rik	69732	
Gm12956		
Lrfn3	233067	A530045B06Rik
Lrfn3	233067	SALM4
Gm12955		
Gm45023		
Olfr714		GA_x6K02T2PBJ9-9453401-9454354
Olfr714		MOR263-2
Olfr714		P4
Gm12957		
Dlg5	71228	4933429D20Rik
Gm48046		
Ccdc159	67119	2510048L02Rik
Txndc9	98258	Apacd
Txndc9	98258	ATP binding protein associated with cell differentiation
Olfr17	18314	GA_x6K02T2PBJ9-9470146-9471093
Olfr17	18314	MOR263-5
Olfr17	18314	P2
Gm43739		
Gm30214		
Gm10036		
Gm5309		
D130079A08Rik		
Gm4835		
Trav13d-3		
Gm50076		
Tyrobp	22177	DAP12
Tyrobp	22177	KARAP
Tyrobp	22177	killer cell activating receptor associated protein
Gm45101		
Gm47577		
Gm7665		
1700112J16Rik		
Gm41031		
Gm34388	102637626	
Trav8d-2		Gm8721
Pdilt	71830	1700007B13Rik
Pdilt	71830	PDILT
Il1rl1	17082	DER4
Il1rl1	17082	Fit-1
Il1rl1	17082	Ly84
Il1rl1	17082	St2
Il1rl1	17082	St2-rs1
Il1rl1	17082	ST2L
Il1rl1	17082	T1
Il1rl1	17082	T1 gene
Il1rl1	17082	T1/ST2
Tsc22d1	21807	Egr5
Tsc22d1	21807	Tgfb1i4
Tsc22d1	21807	TSC-22
Igkv11-118		
Mecr	26922	Nrbf1
Arrdc3	105171	
Igkv1-117		Gm16797
Gm44956		
Ctla4	12477	Cd152
Ctla4	12477	Ctla-4
Ctla4	12477	Ly-56
Ctla4	12477	Cd152
Ctla4	12477	Ctla-4
Ctla4	12477	Ly-56
Gm29652		
Olfr70	56014	GA_x6K02T2N78B-16239704-16240654
Olfr70	56014	MOR262-10
Olfr70	56014	mOR6
Gm43525		
Gm29080		
Iqank1	432964	K230010J24Rik
Gm44554		
Ccdc153	270150	
Asf1a	66403	2310079C17Rik
Gm21184	108168664	
Ttc38	239570	
Vmn1r135		Gm8611
Gm18014		
Gm37105		
Agtr1b	11608	Agtr-1b
Agtr1b	11608	Angtr-1b
Agtr1b	11608	AT1B
Gm19427		
Vmn1r249	435940	Gm5725
Gm27241		
Gm17797		
Pnkp	59047	1810009G08Rik
Pnkp	59047	PNK
Ppfia1	233977	C030014K08Rik
Ppfia1	233977	liprin
Ppfia1	233977	Liprin-alpha1
Tle3	21887	2610103N05Rik
Tle3	21887	ESG
Tle3	21887	Grg3a
Tle3	21887	Grg3b
Gm49409		
Rsad2	58185	2510004L01Rik
Rsad2	58185	cig5
Rsad2	58185	Vig1
Rsad2	58185	viperin
Fnta	14272	FTA
Gm5941		
Gm28319		
Gm11823	329797	
Gm28320		
Gm28322		
Etv6	14011	Tel
Etv6	14011	translocation-ets-leukemia
Gm45474		
Fam83h	105732	
Tmeff2	56363	4832418D20Rik
Tmeff2	56363	7630402F16Rik
Gm14777		
Irs2	384783	Irs-2
Gm6982		
Pde6h	78600	A930033D18Rik
Pde6h	78600	PDEgamma
Mageb18	215641	B430216B18Rik
Gm47737		
Olfr726		GA_x6K02T2PMLR-5775299-5774334
Olfr726		MOR246-4
Apol7d		ENSMUSG00000073652
Apol7d		Gm15456
1700012P22Rik	69364	
Tmem59l	67937	5330410G16Rik
9530052E02Rik		
Srcap	100043597	B930091H02Rik
Srcap	100043597	D030022P06Rik
Srcap	100043597	F630004O05Rik
Rpl18-ps1		Gm11580
Rpl18-ps1		Rpl18-rs8
2010001A14Rik		
Gm21201	108168607	
Gm11824		
Mycn	18109	bHLHe37
Mycn	18109	N-myc
Mycn	18109	Nmyc
Mycn	18109	Nmyc-1
Mycn	18109	Nmyc1
Gm18426		
Smu1		2600001O03Rik
Smu1		2610203K23Rik
Smu1		SMU-1
Gm6395		
Arhgdib	11857	D4
Arhgdib	11857	Gdid4
Arhgdib	11857	Ly-GDI
Suv39h2	64707	4930507K23Rik
Suv39h2	64707	D2Ertd544e
Suv39h2	64707	KMT1B
Suv39h2	64707	Suv39h histone methyltransferase
Gm7589		
1700020G03Rik		Gm45545
1700003E24Rik		
Tmem86a	67893	1810054O13Rik
Pdk1	228026	D530020C15Rik
1700023H06Rik		
Gm26933		
Bnip3l-ps		Gm10480
Trav16d-dv11		ENSMUSG00000072535
BC061195	69357	
Gm9944		
Gm40879		
Cav1	12389	Cav-1
Cav1	12389	caveolin-1
Gm13633		
Gm19368		
Zbtb34	241311	LOC241311
Gm13632		
Trav13d-4		Gm17006
Gm12115		
Ndrg2	29811	Ndr2
Gm33053		
Cltb	74325	2310046E19Rik
D030007L05Rik		
Txnl4b	234723	D530025J19Rik
Txnl4b	234723	Dim2
Gm36377		
Mocos	68591	1110018O12Rik
Frem2	242022	6030440P17Rik
Frem2	242022	8430406N05Rik
Frem2	242022	b2b1562Clo
Frem2	242022	my
Frem2	242022	ne
Gm10322		
Aadacl3	230883	LOC230883
Surf6	20935	D2Wsu129e
Surf6	20935	Surf-6
Gm48064		
Mcu	215999	2010012O16Rik
Mcu	215999	Ccdc109a
Mcu	215999	D130073L02Rik
Dclre1c	227525	9930121L06Rik
Dclre1c	227525	Art
Dclre1c	227525	Artemis
Gm6607		
Olfr727		GA_x6K02T2PMLR-5817082-5818056
Olfr727		MOR246-2
Pou4f1	18996	Brn-3
Pou4f1	18996	Brn-3.0
Pou4f1	18996	Brn3
Pou4f1	18996	Brn3a
Pou4f1	18996	E130119J07Rik
Abhd14b	76491	1810013B01Rik
Gm37424		
Trav14d-3-dv8		
Tmem205	235043	clone: 2-27
Gm37870		
Gm43984		
Oas3	246727	2'-5' oligoadenylate synthetase-like 10
Oas3	246727	Oasl10
1700051K13Rik		
LOC102637012		
Trav15d-3		
1700121L16Rik		
Gm17088		
Trav7n-4		
Gm43982		
Gm17089		
Arhgef39		E130306D19Rik
Aldh3b1	67689	1700001N19Rik
Aldh3b1	67689	ALDH4
Aldh3b1	67689	ALDH7
Peli1	67245	2810468L03Rik
Peli1	67245	A930031K15Rik
Peli1	67245	D11Ertd676e
Gm19566		
Clgn	12745	4930459O04Rik
Clgn	12745	A2/6
Clgn	12745	calnexin-t
Clgn	12745	Cln
Gm15581		
Gm9293		
Gm48189		
Gm9292		
Gm32736		
Gm45760		
Gm29591		
Gm47383		
Got2	14719	FABP-pm
Got2	14719	Kyat4
Got2	14719	mAspAT
Got2	14719	mitochondrial aspartate aminotransferase
Got2	14719	plasma membrane fatty acid binding protein
D830026I12Rik		
Gm5987		
9530078K11Rik		
Gm47384		
Prcp	72461	2510048K03Rik
Prcp	72461	2610104A14Rik
Gm47385		
Top3b	21976	Topo III beta
Gm47386		
Gm20472		Gm6950
Bicd2	76895	0610027D24Rik
Bicd2	76895	1110005D12Rik
Cav2	12390	
Tasor2	105203	BC016423
Tasor2	105203	Fam208b
Gm18187		
Gm49406		
Obox4-ps25		
Gm5218		
Gm8706		
Gm20473		
Gm46312		
Vmn2r66		F830104D24Rik
Gm43162		
Obox4-ps26		Gm20623
Gm48743		
Defa20	68009	2010016F14Rik
Defa20	68009	Defcr20
Tsc1	64930	hamartin
Tsc1	64930	tuberous sclerosis 1
1110025M09Rik		
Olfr715b		EG384732
Olfr715b		Gm10081
Tlx3	27140	Hox11l2
Tlx3	27140	Rnx
Tlx3	27140	Tlx1l2
Gm48744		
Gm9285		
Cdh10	320873	A830016G23Rik
Cdh10	320873	C030003B10Rik
Cdh10	320873	C030011H18Rik
Cdh10	320873	T2-cadherin
Gm48748		
Gm47393		
Ranbp2-ps7		Gm27214
Gm47420		
Gm45868		
1700120G11Rik		
Gm48750		
Gm43529		
Lysmd4	75099	4930506D23Rik
Gm47421		
Olfr715		GA_x6K02T2PBJ9-9479517-9478573
Olfr715		MOR260-1
Gm48749		
Atp6v0c-ps1		Atp6c-rs1
Atp6v0c-ps1		Atp6c1
Atp6v0c-ps1		Atp6l-ps1
Atp6v0c-ps1		lysosomal 16kDa
Atp6v0c-ps1		MGPLlambda1-2
Xab2	67439	0610041O14Rik
Gm13536		
Gm42594		
Gm7093		
Gm37378		
Defa32	100041890	Gm15308
Gm29081		
Gm29470		
		
Gm28165		
Gm13118		
Crlf1	12931	CLF-1
Crlf1	12931	CRLM3
Crlf1	12931	cytokine receptor like molecule 3
Gm50327		
Gm28965		
Gabra6	14399	alpha6
Gabra6	14399	GABA-ARalpha6
Gabra6	14399	Gabra-6
Gm48201		
Atp6v1f	66144	1110004G16Rik
Defa37		Gm14850
Gm35208		
Gm20773	665301	
Gm20773	100040171	
Gm20773	100040714	
Gm28709		
Gm11836		
Gm49009		
Gm10558		
Gm48799		
Hdac1	433759	HD1
Hdac1	433759	MommeD5
Hdac1	433759	RPD3
Gm31466		
Gm6486		
Gm30584		
Vmn2r43	381838	EC2-V2R
Gm29077		
Gm4806		
Gm3053		
Gm48209		
Rpl7a-ps1		Gm4807
Card6	239319	
Gm15311		
B830042I05Rik		
Map2	17756	G1-397-34
Map2	17756	MAP-2
Map2	17756	Mtap2
Map2	17756	repro4
Mrc1	17533	CD206
Mrc1	17533	MR
Gm43530		
Rbm19	74111	1200009A02Rik
Aadacl4fm1	381572	9430007A20Rik
Aadacl4fm1	381572	LOC381572
Vdac3-ps1		ENSMUSG00000075053
Gm29076		
Magee2		9630059J11Rik
Magee2		Mage-e2
Helq	191578	D430018E21Rik
Helq	191578	Hel308
Gm8715		
Gm18491		
Mlc1	170790	Kiaa0027-hp
Mlc1	170790	WKL1
Gm6575		
Vmn1r-ps77		Gm16450
Gm21868		
Gm36398		
Gm44714		
Defa28	626682	Gm6696
Gm10298		
Gm13121		
Gm21943	108168625	
Gm21943	108168634	
Gm21943	108168635	
Gm21943	108168659	
Gm21943	108168661	
Gm21943	108168663	
Gm21943	108168664	
Gm44540		
Gm29079		
Nrsn1	22360	Neurensin-1
Nrsn1	22360	Neuro-p24
Nrsn1	22360	Vmp
Gm19098		
Gpr180	58245	E130016I23Rik
Gpr180	58245	ITR
Gm6285		
Gm44717		
Gm18985		
Gm4451		
Mmp13	17386	Clg
Mmp13	17386	collagenase-1
Mmp13	17386	Collagenase-3
Mmp13	17386	interstitial collagenase
Mmp13	17386	MMP-13
Mmp13	17386	Mmp1
Gm9673		
Gm12116		
Gm29078		
Gm15312		
Gm3654		
Abhd14a	68644	1110013B16Rik
Abhd14a	68644	Dorz1
Gm15772		
Zbtb43	71834	1700010E06Rik
Zbtb43	71834	Zfp297b
2610024D14Rik		
Gm44667		
Gm12117		
Gm5311		
Gm28532		
4930448F12Rik	73992	
Gm44668		
Apoc3	11814	
Gm13839		
Gm17105		
Gm48800		
Gm49098		
Krtdap	64661	Kdap
Krtdap	64661	sk221
Gm28533		
		
Ranbp17	66011	4932704E15Rik
Mef2a	17258	A430079H05Rik
Gm13838		
		
Defa43	665956	Gm7861
Ppa1	67895	2010317E03Rik
Ppa1	67895	Pyp
B230112J18Rik		
Gm28966		
Olfr71	56015	GA_x6K02T2N78B-16230286-16231224
Olfr71	56015	mOR17
Olfr71	56015	MOR262-4
Gm38261		
Map1s	270058	6430517J16Rik
Map1s	270058	Bpy2ip1
Map1s	270058	Map8
Map1s	270058	Mtap1s
Map1s	270058	VCY2IP1
Gm38088		
4933424N20Rik		
Gm36548		Gm42426
Gm38223		
Gm43719		
Serpinb6c	97848	ovalbumin
Serpinb6c	97848	Spi3C
Serpinb6c	97848	SPIC
4930562A09Rik		
Gm38380		
Gm43718		
Gm15314		
Gm37702		
Gm2328		
Gm18057		
Gm5949		
Ncoa2	17978	bHLHe75
Ncoa2	17978	D1Ertd433e
Ncoa2	17978	glucocorticoid receptor-interacting protein 1
Ncoa2	17978	Grip1
Ncoa2	17978	KAT13C
Ncoa2	17978	SRC-2
Ncoa2	17978	TIF-2
Ncoa2	17978	TIF2
Ncoa2	17978	TIF2/GRIP-1
Defa26	626708	Defcr26
Gm18669		
Gm35298		
Gm18464		
Ssxb1	67985	4930414C09Rik
Gm5891		ENSMUSG00000074313
Gm48213		
Gm6647		
Gm37441		
5830411K02Rik		
Speer5-ps1	70365	SPEER-5
Rpl21-ps2		Gm6879
Gm4751		
Gm37561		
4930428O21Rik		
4930568A13Rik		Gm43716
Gm36728		
Speer3	71026	4933405P08Rik
Speer3	71026	SPEER-3
Gm15313		
Hrct1		3830408D24Rik
Gm12040		
Defa17	23855	Cryp17
Defa17	23855	Crypt defensin 17
Defa17	23855	cryptdin 17
Defa17	23855	Defcr17
Urm1	68205	2900073H19Rik
Gm37521		
Gm37297		
Gm17152		
Gm48751		
Rdh13	108841	8430425D21Rik
Tmem223	66836	0610006I08Rik
Gm48753		
Agap1	347722	Centg2
Agap1	347722	Ggap1
Ltbp3	16998	Ltbp2
Gm36608		
Gm9930		
Ms4a4d	66607	
Oas1e		2'-5' oligoadenylate synthetase-like 7
F830002E08Rik		
Gm16443		Gm8622
Nt5e		2210401F01Rik
Nt5e		CD73
Nt5e		ecto-5'-nucleotidase
Nt5e		Nt5
Olfr728	258039	GA_x6K02T2PMLR-5831021-5830086
Olfr728	258039	MOR246-1P
Gm28649		
Tpi-rs8		OTTMUSG00000000617
Tpi-rs8		Tpi-8
Dgkk	331374	
Gm11349		
Ssxb9	387131	
Scnm1	69269	3110001I17Rik
Scnm1	69269	Scnm1-ps
Gm36426		
Gemin7	69731	2400008I04Rik
Gm15419		
Rhox2h		Rhox2.8
Spaar	71406	5430416O09Rik
Col4a2	12827	Col4a-2
Olfr729	258275	GA_x6K02T2PMLR-5839874-5838903
Olfr729	258275	MOR246-6
Sec61b	66212	1190006C12Rik
Gm6261		
Gm20531		
Gm44271		
Ssxb10		
Vmn1r137		Gm4551
Nucb2	53322	Calnuc
Nucb2	53322	NEFA
Nucb2	53322	nesfatin-1
Gm12668		
Ptpn6	15170	hcp
Ptpn6	15170	Hcph
Ptpn6	15170	Ptp1C
Ptpn6	15170	SHP-1
Gm20594		
Nid2	18074	entactin 2
Nid2	18074	entactin-2
Tmem179b	67706	0610031L02Rik
Tmem179b	67706	1500003K22Rik
Tmem179b	67706	1810059G22Rik
Zfp296	63872	2210018A16Rik
Gm32295		
Gm42507		
Gm17045		
Gm43069		
Gm21772		
D5Ertd579e	320661	9030221A05Rik
D5Ertd579e	320661	A930018H20Rik
Gm3208		
Vmn2r-ps45		EG665571
Sema3b	20347	LUCA-1
Sema3b	20347	SemA
Sema3b	20347	sema5
Sema3b	20347	Semaa
Sema3b	20347	semaV
Oas1c	114643	Oasl5
Gm26991		
Gm10212		
Mtmr6	219135	4022440C11Rik
Gm3275		
Gm6337	622640	
Gm38275		
Unc93b1	54445	
Gm36529	102640479	
Gm29741		
Gm38343		
Gm28961		
Gm28959		
Gm12434		
Gm36607	102640576	
Gm10390		
Gm11350		
Gm3468		
Gm3127	100041076	
Adamts16	271127	
Vmn1r-ps78		Gm8628
Gm6650		
Plcb3	18797	
Gm12041		
Gm8206		
Gm8968		
Vmn1r138		Gm4179
Gm7696		
Gm35702		
Olfr269-ps1		GA_x6K02T2N78B-16168453-16169225
Olfr269-ps1		MOR262-15_p
Gm28962		
Gm2974		
9130221H12Rik		
Gm6073		
Gm18058		
Gm6204		
Gm3411	100042149	
Gsk3a	606496	2700086H06Rik
4930555M17Rik		
Olfr159	29849	GA_x6K02T2N78B-16165641-16166600
Olfr159	29849	MOR262-5
Olfr159	29849	mOR37e
Olfr159	29849	Olfr37e
Gm11105		
Rfx6	320995	4930572O07Rik
Rfx6	320995	Rfxdc1
Gm48646		
Anln	68743	1110037A17Rik
Anln	68743	2900037I21Rik
Anln	68743	Scraps
Gm6176	620736	
Gm21560	105245675	
Gm13530		
Gm11351		
Cped1	214642	A430107O13Rik
Hk3	212032	
Gm3476	100041702	
Gm13126		
Gm5767	436336	Gm43786
Kctd13	233877	1500003N18Rik
Kctd13	233877	Pdip1
Kctd13	233877	Poldip1
Lyn	17096	Hck-2
Lyn	17096	Yamaguchi sarcoma viral (v-yes-1) oncogene homolog
Gm44056		
Gm30735		Gm43565
Gm33037		
Hcst	23900	DAP10
Hcst	23900	KAP10
Gm42715		
Gm47925		
Olfr29-ps1		GA_x6K02T2N78B-16154374-16155336
Olfr29-ps1		MOR262-11
Olfr29-ps1		mOR37d
Olfr29-ps1		MTPCR52
Olfr29-ps1		Olfr29
Olfr29-ps1		Olfr37d
Aadacl4fm2	627085	Gm13124
Gm42936		
Gm2123		
Gm18465		
Ncf4	17972	p40phox
Ldah	68832	1110057K04Rik
Gm10727		
Adam10	11487	1700031C13Rik
Adam10	11487	kuz
Adam10	11487	kuzbanian
Gm8521		
Gm12492		
C820005J03Rik		
Tbc1d14	100855	2810413P16Rik
Tbc1d14	100855	D5Ertd110e
Gm21984		
Siglecg	243958	A630096C01Rik
Siglecg	243958	mSiglec-G
Prorsd1	67939	2010316F05Rik
Prorsd1	67939	Ncrna00117
Prorsd1	67939	Prdxdd1
Gm9286		
Arx	11878	Arx1
Gm47422		
1810055G02Rik	72056	
Sez6l2	233878	Psk1
Gm43171		
Gm43170		
Gm49205		
Bcorl1	320376	6720425J07Rik
Rnf219	72486	2610206B13Rik
Rnf219	72486	2810449K13Rik
Igkv2-116		
Gm12118		
Anp32-ps		EG448829
Trav9n-1		Gm5074
Igkv1-115		Gm6854
Gm28198		
Igkv11-114		
1700008J07Rik		
Gm31369		
Hp	15439	HP-1
Hp	15439	preHP2
Hp	15439	zonulin
Tmem265		
Gm13127		
Gm15418		
Aadacl4		Gm13177
Gm9042		
Gm47773		
Gm28499		
Col4a1	12826	alpha1(IV) collagen
Col4a1	12826	Bru
Col4a1	12826	Col4a-1
Col4a1	12826	Del(8)44H
Col4a1	12826	Del(8)Bru44H
Col4a1	12826	Raw
Col4a1	12826	Svc
Parva	57342	2010012A22Rik
Parva	57342	5430400F08Rik
Parva	57342	actopaxin
Parva	57342	CH-ILKBP
Gm13184		
Tnfrsf11b	18383	OCIF
Tnfrsf11b	18383	OPG
Tnfrsf11b	18383	osteoclastogenesis inhibitory factor
Tnfrsf11b	18383	TR1
Gm38433		
Pcgf5	76073	0610009F02Rik
Pcgf5	76073	1110054A01Rik
Pcgf5	76073	5830406C17Rik
Pcgf5	76073	5830443C21Rik
Pcgf5	76073	9530023M17Rik
4933431J24Rik		
Gm43062		
Gm32921		
Gm20836	100040335	
Gm36787		
Gm37263		
4933400F21Rik		
Gm18177		
Trav6n-5		ENSMUSG00000072087
Trav6n-5		Gm10894
Gm37130		
Gm12089		
Gm28429		
Tceal3	594844	1100001D19Rik
Trav10n		
Gm2141		
Gm43165		
Gm43435		
Gm50374		
Gm30055		Gm44406
Galnt17		E330012B09Rik
Galnt17		Galnt19
Galnt17		Gcap8
Galnt17		Wbscr17
Tmem167b	67495	2010200O16Rik
Gm20474		Gm4109
Gm28413		
5430425K12Rik		
9330102E08Rik		
Gm49386		
Gm50375		
Gm12313		
Gm13257		
Gm9305		
Vmn2r-ps64		
Tent5b	100342	4732473B16Rik
Tent5b	100342	Fam46b
Gm28412		
Gm12314		
Gm18289		
Ctsh	13036	Cat H
Gm10010		
Gm17806		
Fam189b	68521	1110013L07Rik
Gm9309		
Gm18609		
Gm8525		
Fadd		Mort1/FADD
Vmn2r-ps65		
Dnd1-ps		Gm5289
Gm26696		
Gm10330		
Vmn2r-ps66		EG620641
Gm38699		Gm21067
Gm28414		
Olfr730		GA_x6K02T2PMLR-5881670-5880717
Olfr730		MOR247-1
Vmn2r-ps67		
Gm47437		
Gm47440		
Faddos		Gm10574
Gm4691		
Rtraf	68045	2700060E02Rik
Gm37697		
Gm28648		
Sytl2	83671	Slp2
Sytl2	83671	Slp2-a
Sytl2	83671	Slp2-b
Sytl2	83671	Slp2-c
Sytl2	83671	Slp2-d
D130009I18Rik	320249	
Gm45895		
Gm28647		
Gm18358		
Gm8637		
Gm29435		
Gm19065		
Gsr	14782	D8Ertd238e
Gsr	14782	Gr-1
Gsr	14782	Gr1
Scyl1	78891	2810011O19Rik
Scyl1	78891	mdf
Scyl1	78891	mfd
Scyl1	78891	Ntkl
Scyl1	78891	p105
Gm18284		
A430072P03Rik		
Atl3	109168	4633402C03Rik
Atl3	109168	5730596K20Rik
Chadl	214685	D930017K21Rik
Gm48068		
Eps8l1	67425	2310051G19Rik
Eps8l1	67425	4632407K17Rik
Eps8l1	67425	DRC3
Eps8l1	67425	EPS8R1
Gm46342		
Gfi1	14581	Gfi-1
Gfi1	14581	Pal-1
Gfi1	14581	Pal1
Gm47441		
Sh3pxd2a	14218	2310014D11Rik
Sh3pxd2a	14218	Fish
Sh3pxd2a	14218	Sh3md1
Sh3pxd2a	14218	Tks5
Gm47442		
Gm43838		
Vmn2r67		EG620672
Akr1c13	27384	
Gm43837		
Gm42573		
Gm13772		
Gm34973		
Kif2c	73804	4930402F02Rik
1700027F09Rik	69999	
4930526M16Rik		
Agbl2	271813	A430081C19Rik
Agbl2	271813	Ccp2
Gm2517		
Gm31363		
Il18r1	16182	Il18ralpha
Il18r1	16182	Il1rrp
C030018K13Rik		
Vmn2r44	434113	EG434113
Gm8703		
Gm28963		
Gm15010		
Med22	20933	Surf-5
Med22	20933	Surf5
Gm43836		
Gm43835		
Gm48634		
L3mbtl2	214669	4732493N06Rik
L3mbtl2	214669	m4mbt
Ppp1r14b	18938	AOM172
Ppp1r14b	18938	PHI-1
Ppp1r14b	18938	PLCB3N
Ppp1r14b	18938	Png
Gm29466		
Gm29467		
Cdk6	12571	Crk2
Gm11352		
Ampd1	229665	Ampd-1
Gm48567		
Gm48568		
Gm48566		
Gm8399		
Vmn1r139		Gm8636
Vmn2r-ps46		Gm7699
Gm4813		
Gm4211		
Gm49375		
Cercam	99151	Ceecam1
Cercam	99151	CerCAM
Gm43166		
Smco4	170748	BC017612
Gm42897		
Gm42896		
Adgrv1	110789	Gpr98
Adgrv1	110789	Mass1
Adgrv1	110789	Mgr1
Adgrv1	110789	VLGR1
Gnat3		alpha-gustducin
Gnat3		Ggust
Gnat3		Gtn
Gm7566		
Gm5215		
Gm42965		
Pag1	94212	Cbp
Pag1	94212	F730007C19Rik
Snrpd2	107686	1810009A06Rik
Snrpd2	107686	SMD2
Vpreb1	22362	CD179a
Vpreb1	22362	Vpreb-1
Gnb1l	13972	ESTM55
Gnb1l	13972	Me49f07
Gnb1l	13972	Wdr14
Gnb1l	13972	Wdvcf
Gm17590		
Gm21724		
Parvaos		A230071N21Rik
Gm42435		
Gm20963		
Vmn2r-ps68		EG620683
Gm9231		
Defa34		ENSMUSG00000063206
Defa34		Gm15315
Vmn2r45	100042810	
Gm40848		
Vmn2r68		EG620697
Vmn2r68		Vmn2r68-ps
Gm48392		
Rhox7-ps2		Gm38669
Rhox2-ps		Gm6310
Gm20414		
Ssxb2		
Rhox5		Pem
Gm20415		
Vmn2r-ps69		
Gm6507		
Gm10288		
Tbc1d4	210789	5930406J04Rik
Tbc1d4	210789	AS160
Hspb8	80888	Cryac
Hspb8	80888	D5Ucla4
Hspb8	80888	E2IG1
Hspb8	80888	H11
Hspb8	80888	H11K
Hspb8	80888	HSP20-like
Hspb8	80888	HSP22
Olfr156	29846	GA_x6K02T2N78B-16125144-16126100
Olfr156	29846	MOR262-6
Olfr156	29846	mOR37b
Olfr156	29846	Olfr37b
Olfr156	29846	OR37B
Vmn2r69		
Gm10680		
G630022F23Rik		
Gm44735		
Rhox6		Psx1
Asphd1	233879	A830007L07Rik
Gm43063		
Apoa4	11808	Apoa-4
Aadacl4fm4	230890	Gm436
Aadacl4fm4	230890	LOC230890
Fgfr3	14184	Fgfr-3
Fgfr3	14184	HBGFR
Fgfr3	14184	sam3
Ms4a6d	68774	Ms4a11
Tceal1	237052	0610011M09Rik
Tceal1	237052	P21
Tceal1	237052	pp21
Gm16451		
2600006K01Rik		
Arhgap20	244867	6530403F17Rik
Arhgap20	244867	A530023E23Rik
Vmn1r250	100043037	Gm10666
AAdacl4fm3	546849	Gm13178
Gm42490		
Gm42566		
Amer2	72125	2600011E07Rik
Amer2	72125	Amer2
Amer2	72125	Fam123a
1700092E19Rik	73576	
Gm47528		
Gm3716	100042198	Gm1683
Gm3716	100042198	LOC381697
Gm9519		
Vmn1r198		V1ri3
Mfap2	17150	Magp
Gm42564		
Gm42565		
Scoc	56367	0610011C06Rik
Scoc	56367	2810002J11Rik
Scoc	56367	short coiled-coil protein
Gm16337		
Gm31663		
Gm26761		
Gm47443		
Vmn2r-ps139		
Gm17330		
Gm43822		
Gm5671		
Trim66	330627	D7H11orf29
Trim66	330627	Tif1d
Gm29038		
Gm47444		
Gm21893		
Dock9	105445	B230309H04Rik
