HGNC symbol	NCBI gene ID	Gene Synonym
MEG8		SNHG23
MEG8		SNHG24
		
ISCA2P1		
		
NDUFS6	4726	CI-13kA
ANKMY2	57037	DKFZP564O043
ANKMY2	57037	ZMYND20
		
		
		
SUMO2P1		dJ271M21
SUMO2P1		SMT3Bp
SUMO2P1		SMT3H2P
SUMO2P1		SUMO2P
		
HTR2A-AS1		
CCDC97	90324	FLJ40267
CCDC97	90324	MGC20255
LINC02277		
		
HTR2A	3356	5-HT2A
HTR2A	3356	HTR2
CLK4	57396	
LTBP2	4053	C14orf141
LTBP2	4053	LTBP3
DDX11L8		
LY86-AS1		FLJ33708
LY86-AS1		LY86-AS
LY86-AS1		LY86AS
		
FSCB	84075	C14orf155
FSCB	84075	DKFZP434F1017
SKINT1L		BTN12
SKINT1L		SKINTL
SKINT1L		SKINTP
CA15P2		
TRIM15	89870	RNF93
TRIM15	89870	ZNF178
TRIM15	89870	ZNFB7
		
MTRNR2L6	100463482	
		
PPP1R26P2		KIAA0649P2
OR52J1P		
TRBV25-1		TCRBV11S1A1T
TRBV25-1		TCRBV25S1
TRBV25-1		TRBV251
		
TRAC		
TRBVA		TCRBV33S1
PPIL4	85313	
PPP1R26P4		KIAA0649P4
LINC02332		
H2BP6		HIST1H2BPS3
		
LTA	4049	LT
LTA	4049	TNFB
LTA	4049	TNFSF1
		
		
TRBV26		TCRBV26S1
TRBV26		TCRBV28S1P
		
TRBVB		TCRBV34S1
		
FAM230E		LINC01662
SLC17A6	57084	DNPI
SLC17A6	57084	VGLUT2
CNN3P1		
MTMR14	64419	C3orf29
MTMR14	64419	FLJ22405
MTMR14	64419	FLJ90311
MTMR14	64419	hEDTP
MTMR14	64419	hJumpy
GNG5P5		
		
LY86	9450	dJ80N2.1
LY86	9450	MD-1
KIAA1549	57670	
PSMB9	5698	beta1i
PSMB9	5698	LMP2
PSMB9	5698	PSMB6i
PSMB9	5698	RING12
OR52A4P		OR52A4
TRBV27		TCRBV14S1
TRBV27		TCRBV27S1
		
PDE1C	5137	Hcam3
IL17RE	132014	FLJ23658
LINC02116		
GREM1	26585	CKTSF1B1
GREM1	26585	CRAC1
GREM1	26585	DAND2
GREM1	26585	DRM
GREM1	26585	gremlin
GREM1	26585	HMPS
OR52A5	390054	
COL11A1	1301	CO11A1
COL11A1	1301	COLL6
COL11A1	1301	DFNA37
COL11A1	1301	STL2
		
TRBV28		TCRBV28S1
TRBV28		TCRBV3S1
		
		
		
		
		
EEF1A1P20		
		
PGBD4P1		
ECSCR	641700	ARIA
ECSCR	641700	ECSM2
DAD1	1603	OST2
MTCYBP22		
TRBV29-1		TCRBV29S1
TRBV29-1		TCRBV4S1A1T
TRBV29-1		TRBV291
MTND6P22		
		
SNAPC5P1		
		
		
MTND5P10		
		
DRD5	1816	DRD1B
DRD5	1816	DRD1L2
		
MTND4LP5		
VSTM2L	128434	C20orf102
VSTM2L	128434	dJ1118M15.2
MTND4P35		
DAZ4	57135	
		
GGT3P		GGT3
		
		
MTND3P19		
MTCO3P22		
		
		
MTATP6P2		
		
MTCO2P22		
GNRHR2		
DECR2	26063	PDCR
DECR2	26063	SDR17C1
MTCO1P22		
		
E2F6P1		
TNF	7124	DIF
TNF	7124	TNF-alpha
TNF	7124	TNFA
TNF	7124	TNFSF2
UBA52P6		
		
DNAJC18	202052	MGC29463
		
OR52A1	23538	HPFH1OR
UBTFL10		
LINC02302		
LRRC74A	145497	C14orf166B
LRRC74A	145497	LRRC74
		
		
OR51A1P		
DOCK11P1		
		
FAM8A5P		
		
HLA-DRB7		
ANKRD34A	284615	ANKRD34
TRIM77	390231	TRIM77P
		
		
		
		
HLA-DRB1	3123	HLA-DR1B
		
		
		
PNP	4860	NP
PNP	4860	PUNP
LIX1L-AS1		
TATDN2	9797	KIAA0218
		
		
WASH8P		
RBAK-RBAKDN	100533952	
COX5BP7		COX5BL7
		
ABHD4	63874	FLJ12816
		
TTI1	9675	KIAA0406
TTI1	9675	smg-10
CBX7	23492	
		
		
CACNB2	783	CACNLB2
CACNB2	783	MYSB
		
		
		
MAN1A2P1		
HLA-DPA3		
UBTFL2		
WDR61	80349	REC14
		
		
RER1	11079	
RNF216P1		RNF216L
TMEM213	155006	
TPRG1L	127262	FAM79A
TPRG1L	127262	FLJ21811
TPRG1L	127262	RP11-46F15.3
TAS2R41	259287	T2R59
FAM138D		F379
PEX11B	8799	
LINC01250		FLJ37991
DDX41	51428	ABS
DDX41	51428	MGC8828
OR2R1P		OR2R1
OR2R1P		OST058
		
ZYX	7791	
AMN	81693	amnionless
GSTA6P		GSTAP1
		
		
LIX1L	128077	MGC46719
		
LYPLA2P1		APT
LYPLA2P1		dJ570F3.6
LYPLA2P1		LYPLA2L
		
ATP6V0A4	50617	a4
ATP6V0A4	50617	ATP6N1B
ATP6V0A4	50617	ATP6N2
ATP6V0A4	50617	RDRTA2
ATP6V0A4	50617	RTA1C
ATP6V0A4	50617	RTADR
ATP6V0A4	50617	Stv1
ATP6V0A4	50617	Vph1
ATP6V0A4	50617	VPP2
		
RPL22P2		
RBM8A	9939	BOV-1A
RBM8A	9939	BOV-1B
RBM8A	9939	BOV-1C
RBM8A	9939	RBM8
RBM8A	9939	RBM8B
RBM8A	9939	Y14
RBM8A	9939	ZNRP
HNRNPCP7		
		
GHRL	51738	ghrelin
GHRL	51738	MTLRP
GHRL	51738	obestatin
ZBED9	114821	Buster4
ZBED9	114821	FLJ31087
ZBED9	114821	KIAA1925
ZBED9	114821	SCAND3
ZBED9	114821	ZFP38-L
ZBED9	114821	ZNF305P2
ZBED9	114821	ZNF452
OR52Z1	283110	OR52Z1P
ARHGAP24	83478	DKFZP564B1162
ARHGAP24	83478	FilGAP
ARHGAP24	83478	FLJ33877
TNFAIP8L1	126282	MGC17791
C14orf28	122525	DRIP-1
C14orf28	122525	DRIP1
OR51V1	283111	OR51A12
		
		
		
FRG1-DT		
		
		
GOLGA6L17P		GOLGA6L21P
MYDGF	56005	C19orf10
MYDGF	56005	IL-25
MYDGF	56005	IL-27
MYDGF	56005	IL25
MYDGF	56005	IL27
MYDGF	56005	IL27w
MYDGF	56005	R33729_1
MYDGF	56005	SF20
CDC42BPB	9578	KIAA1124
CDC42BPB	9578	MRCKB
		
		
UBR2	23304	bA49A4.1
UBR2	23304	C6orf133
UBR2	23304	dJ392M17.3
UBR2	23304	KIAA0349
ZNF436-AS1		C1orf213
ZNF436-AS1		FLJ90508
		
		
		
		
PRSS1	5644	TRY1
		
LINC00533		bA373N24.1
LINC00533		C6orf38
LINC00533		C6orf39
TNFRSF21	27242	CD358
TNFRSF21	27242	DR6
		
TRBV5-4		TCRBV5S4
TRBV5-4		TCRBV5S6A3N2T
TRBV5-4		TRBV54
		
ZNF436	80818	KIAA1710
ZNF436	80818	Zfp46
RPSAP2		bA60E24.1
RPSAP2		LAMR1P2
RNF10P1		
PANK3	79646	FLJ12899
SPDYE19P		
B3GNTL1P2		
		
POLR3GL	84265	flj32422
POLR3GL	84265	MGC3200
RGS17P1		
RBAK	57786	ZNF769
ELF1	1997	
KBTBD4	55709	BKLHD4
KBTBD4	55709	FLJ10450
KBTBD4	55709	HSPC252
HSPB9	94086	CT51
KRT18P31		
HEYL	26508	bHLHb33
HEYL	26508	HESR3
HEYL	26508	HEY3
PEX10	5192	RNF69
LTB	4050	p33
LTB	4050	TNFC
LTB	4050	TNFSF3
USP48	84196	FLJ11328
USP48	84196	FLJ20103
USP48	84196	FLJ23054
USP48	84196	FLJ23277
USP48	84196	MGC14879
USP48	84196	USP31
NIPBL	25836	DKFZp434L1319
NIPBL	25836	FLJ11203
NIPBL	25836	FLJ12597
NIPBL	25836	FLJ13354
NIPBL	25836	FLJ13648
NIPBL	25836	IDN3
NIPBL	25836	Scc2
SLC2A3P1		GLUT3P1
SLC2A3P1		GLUT6
SLC2A3P1		SLC2A3P
TRBV6-6		TCRBV13S6A2T
TRBV6-6		TCRBV6S6
TRBV6-6		TRBV66
		
		
RPS29P27		
RBAKDN		
B3GNT6	192134	B3Gn-T6
TRBV7-5		TCRBV6S9P
TRBV7-5		TCRBV7S5
TRBV7-5		TRBV75
		
BRI3	25798	
		
LINC02199		
	100507336	
LZTS1-AS1		
LGALS14	56891	CLC2
LGALS14	56891	PPL13
TAS2R62P		T2R62
TAS2R62P		TAS2R62
LZTS1	11178	FEZ1
OR10AC1	392133	OR10AC1P
		
RPL5P29		
EPHA1-AS1		
RPEP6		
OR8J1	219477	
FOLR3	2352	FR-G
FOLR3	2352	FR?
TAS2R60	338398	T2R60
OR8U8	504189	
		
		
		
OR8U9	504190	
NDUFS3	4722	CI-30
		
RAB5C	5878	RAB5CL
RAB5C	5878	RABL
		
EPHA1	2041	EPH
EPHA1	2041	EPHT
EPHA1	2041	EPHT1
		
		
OR8L1P		
BAIAP2L1	55971	IRTKS
		
MRPL49	740	C11orf4
MRPL49	740	L49mt
MRPL49	740	NOF
MRPL49	740	NOF1
PRSS3P1		TRY5
CKMT1B	1159	CKMT
CKMT1B	1159	CKMT1
CKMT1B	1159	UMTCK
RPS18P13		
		
		
MAPK10-AS1		
		
OR9G1	390174	OR9G5
		
	107987420	
	107987434	
LINC02197		
OR9G9	504191	
		
IGLV2-34		
		
SEMA5A	9037	SEMAF
SEMA5A	9037	semF
PMCHL2		
IGLV2-33		
OR9G3P		
IRX4-AS1		
IGLV3-32		
RPL13P6		RPL13AP4
IRX4	50805	
OR9G4	283189	
IGLV3-31		
NXN	64359	FLJ12614
NXN	64359	NRX
COL11A2	1302	DFNA13
COL11A2	1302	DFNB53
COL11A2	1302	HKE5
		
		
MT2P1		
		
		
OR9G2P		OR9G6
RPS3AP26		
TRBV5-5		TCRBV5S3A2T
TRBV5-5		TCRBV5S5
TRBV5-5		TRBV55
SLC35F5	80255	FLJ22004
		
		
		
TRBV6-7		TCRBV13S8P
TRBV6-7		TCRBV6S7
TRBV6-7		TRBV67
TDRD7	23424	PCTAIRE2BP
		
		
ITGB8	3696	
LINC01629		linc-KIAA1737-2
RPL10P9		
		
FGFRL1	53834	
		
AIF1	199	AIF-1
AIF1	199	Em:AF129756.17
AIF1	199	IBA1
AIF1	199	IRT-1
FAU	2197	asr1
FAU	2197	FLJ22986
FAU	2197	Fub1
FAU	2197	Fubi
FAU	2197	MNSFbeta
FAU	2197	RPS30
FAU	2197	S30
ZNF514	84874	FLJ14457
LINC02792		
		
		
ZNF354A	6940	EZNF
ZNF354A	6940	HKL1
ZNF354A	6940	KID-1
ZNF354A	6940	KID1
ZNF354A	6940	TCF17
IRF2BPL	64207	C14orf4
IRF2BPL	64207	EAP1
IRF2BPL	64207	KIAA1865
SNX2P2		
SRMP1		dJ1057D4.1
		
SEC13	6396	D3S1231E
SEC13	6396	npp-20
SEC13	6396	SEC13L1
SEC13	6396	SEC13R
SKP1P1		EMC19
SKP1P1		OCP2
SKP1P1		TCEB1L
SKP1P1		TCEB1P
LSM11	134353	FLJ38273
LINC00174		NCRNA00174
GSTA5	221357	
PDCD7	10081	ES18
PDCD7	10081	HES18
CCL28	56477	CCK1
CCL28	56477	MEC
CCL28	56477	SCYA28
GTF3AP1		
TH	7054	DYT5b
		
		
UBTFL8		
IL33	90865	C9orf26
IL33	90865	DKFZp586H0523
IL33	90865	DVS27
IL33	90865	IL1F11
IL33	90865	NF-HEV
PDIA3P2		
HLA-DQA1	3117	CELIAC1
HLA-DQA1	3117	HLA-DQA
	102724657	
		
LINC02289		
OR5G1P		OR11-104
OR5G1P		OR5G2P
OR5G1P		OR93
		
LAG3	3902	CD223
MRPS5	64969	MRP-S5
MRPS5	64969	S5mt
OR5G4P		
TRIM10	10107	HERF1
TRIM10	10107	RFB30
TRIM10	10107	RNF9
		
		
		
LINC02288		
		
		
OR5G3		OR5G3P
OR5G3		OR5G6P
SYVN1	84447	DER3
SYVN1	84447	HRD1
CELF1	10658	BRUNOL2
CELF1	10658	CUG-BP
CELF1	10658	CUGBP
CELF1	10658	CUGBP1
CELF1	10658	EDEN-BP
CELF1	10658	hNab50
CELF1	10658	NAB50
CELF1	10658	NAPOR
OR5G5P		
NOP56P1		dJ207F6.1
NOP56P1		NOL5B
NOP56P1		NOL5BP
NOP56P1		NOP56-L
LINC01523		
		
		
SLC22A9	114571	FLJ23666
SLC22A9	114571	OAT4
SLC22A9	114571	OAT7
SLC22A9	114571	UST3
		
STRC	161497	DFNB16
		
		
LINC01522		
		
LINC02735		
		
GSTT2B	653689	GSTT2P
GTF2IP9		
		
		
KCMF1	56888	DEBT91
KCMF1	56888	DKFZP434L1021
KCMF1	56888	PCMF
KCMF1	56888	ZZZ1
		
		
		
LRRC7-AS1		
		
SEMA5A-AS1		
		
ADPGK-AS1		
TPST1	8460	TANGO13A
TMPRSS11E	28983	DESC1
TMPRSS11E	28983	TMPRSS11E2
		
		
SLIT3	6586	MEGF5
SLIT3	6586	SLIL2
SLIT3	6586	Slit-3
SLIT3	6586	SLIT1
SLIT3	6586	slit2
		
		
LRRC7	57554	densin-180
LRRC7	57554	KIAA1365
		
ADPGK	83440	ADP-GK
ADPGK	83440	DKFZp434B195
LINC00494		
UBE2J2	118424	NCUBE2
UBE2J2	118424	Ubc6p
		
TIMM22	29928	TEX4
TIMM22	29928	TIM22
		
CKS1BP5		
PRMT5-AS1		
		
TMEM87B	84910	FLJ14681
FNTAP2		FNTAL2
KCTD16	57528	KIAA1317
MICU2	221154	EFHA1
		
RPL13P		BBC1p
RPL13P		dJ111M5.1
		
CYP26C1	340665	
LINC01623		
		
ABR	29	MDB
LINC02066		
RBM23	55147	CAPERbeta
RBM23	55147	FLJ10482
RBM23	55147	RNPC4
HMGN2P17		
		
		
		
		
		
		
KIF3C	3797	
PGAM3P		dJ1128N12.1
CYP26A1	1592	CP26
CYP26A1	1592	CYP26
CYP26A1	1592	P450RAI
CYP26A1	1592	P450RAI1
PYROXD2	84795	C10orf33
PYROXD2	84795	FLJ23849
POM121L10P		
TMEM267	64417	C5orf28
TMEM267	64417	FLJ21657
KIAA0355	9710	
KANK2	25959	ANKRD25
KANK2	25959	KIAA1518
KANK2	25959	MXRA3
TSSC2		
CLPX	10845	
RAB34	83871	NARR
RAB34	83871	RAB39
RAB34	83871	RAH
		
ABCA4	24	ABCR
ABCA4	24	ARMD2
ABCA4	24	CORD3
ABCA4	24	FFM
ABCA4	24	RP19
ABCA4	24	STGD
ABCA4	24	STGD1
LPA	4018	LP
LPA	4018	Lp(a)
		
		
TRIM26	7726	RNF95
TRIM26	7726	ZNF173
GSTT2	2953	
BCRP7		
		
		
		
TGM2	7052	TGC
OR7E12P		OR11-3
OR7E12P		OR7E58P
OR7E12P		OR7E79P
METRN	79006	C16orf23
METRN	79006	MGC2601
		
ARMC4P1		
PRSS3P2		TRY6
		
TRIM15	89870	RNF93
TRIM15	89870	ZNF178
TRIM15	89870	ZNFB7
RTEL1P1		
		
TIFA	92610	MGC20791
TIFA	92610	T2BP
TIFA	92610	T6BP
TIFA	92610	TIFAA
FAM210CP		
		
		
FAM230F		LINC01663
TRIAP1P1		bA748L13.4
TRIAP1P1		C10orf135
PSMA6P1		PSMA6-LIKE
PSMA6P1		PSMA6P
PSMA6P1		PSMA6Y
CELSR1	9620	ADGRC1
CELSR1	9620	CDHF9
CELSR1	9620	FMI2
CELSR1	9620	HFMI2
CELSR1	9620	ME2
UGT2B29P		
		
LPCAT4	254531	AGPAT7
LPCAT4	254531	AYTL3
LPCAT4	254531	FLJ10257
LPCAT4	254531	LPAAT-eta
LPCAT4	254531	LPEAT2
		
RPL29P33		
LINC01964		
PTCHD3	374308	FLJ44037
PTCHD3	374308	PTR
TCF15	6939	bHLHa40
TCF15	6939	EC2
TCF15	6939	PARAXIS
		
		
DHRS11	79154	MGC4172
DHRS11	79154	SDR24C1
ALPK1	80216	FLJ22670
ALPK1	80216	KIAA1527
ALPK1	80216	Lak
DDT	1652	D-DT
DDT	1652	DDCT
DDT	1652	MIF-2
DDT	1652	MIF2
DDT	100037417	D-DT
DDT	100037417	DDCT
DDT	100037417	MIF-2
DDT	100037417	MIF2
LSM3P3		
		
SMARCA4	6597	BAF190
SMARCA4	6597	BRG1
SMARCA4	6597	FLJ39786
SMARCA4	6597	hSNF2b
SMARCA4	6597	SNF2
SMARCA4	6597	SNF2-BETA
SMARCA4	6597	SNF2L4
SMARCA4	6597	SNF2LB
SMARCA4	6597	SWI2
		
DAPK1-IT1		
UGT2B17	7367	
ZNF736P1Y		ZNF736P1
		
		
	105374618	
		
		
UBTFL6		
		
		
ANKRD30BP3		
		
		
		
		
HNRNPA3P12		
RPS17	6218	MGC72007
RPS17	6218	RPS17L
RPS17	6218	RPS17L1
RPS17	6218	RPS17L2
RPS17	6218	S17
		
DDTL	100037417	
		
UTY	7404	KDM6AL
UTY	7404	KDM6C
RNASE10	338879	RAH1
RNASE10	338879	RNASE9
RPRD1B	58490	C20orf77
RPRD1B	58490	CREPT
RPRD1B	58490	dJ1057B20.2
RPRD1B	58490	DKFZp434P0735
RPRD1B	58490	FLJ44520
RPRD1B	58490	K-H
RPRD1B	58490	Kub5-Hera
RPRD1B	58490	NET60
		
ZNF90P2		dJ111M5.3
ZNF90P2		ZNF463P
C5orf34-AS1		
ASS1P10		ASSP10
RPL9P5		
EEF1A1P19		
LRIG2	9860	KIAA0806
NAMPTP2		
HCG14		dJ111M5.4
		
		
		
		
		
SGO1P1		SGOL1P1
PAIP1P1		bCX300M20.3
PAIP1P1		bPG254M11.3
PAIP1P1		bQB44E15.5
PTCD2P1		
		
LRRC40	55631	FLJ20331
RPS7P10		
C5orf34	375444	FLJ32363
		
GSTA11P		GSTAP3
		
SETP1		SETP
SETP1		SETP19
FRG1	2483	FRG1A
FRG1	2483	FSG1
		
PRSS2	5645	TRY2
LDLRAD1	388633	
PRPH2	5961	CACD2
PRPH2	5961	rd2
PRPH2	5961	RDS
PRPH2	5961	RP7
PRPH2	5961	TSPAN22
ZNF875	284459	HKR1
OMP	4975	
PPIAP82		
		
ARL14EPL	644100	
		
AADACL2-AS1		
CAPN5	726	ADNIV
CAPN5	726	HTRA3
CAPN5	726	nCL-3
CAPN5	726	VRNI
		
GOLGA6L4	643707	
PSAT1	29968	PSA
AADACL2	344752	MGC72001
		
		
		
		
PIN1P1		PIN1L
		
RASA3	22821	GAP1IP4BP
RASA3	22821	GAPIII
		
FKBP5	2289	FKBP51
FKBP5	2289	FKBP54
FKBP5	2289	P54
FKBP5	2289	PPIase
FKBP5	2289	Ptg-10
SRXN1	140809	C20orf139
SRXN1	140809	dJ850E9.2
SRXN1	140809	Npn3
SRXN1	140809	SRX1
SRXN1	140809	YKL086W
LINC02265		
ATP6V0CP3		
CPEB1-AS1		
		
RPL34P19		
SCRT2	85508	ZNF898B
LVRN	206338	APQ
LVRN	206338	AQPEP
LVRN	206338	FLJ90650
LVRN	206338	TAQPEP
MINK1	50488	B55
MINK1	50488	MAP4K6
MINK1	50488	MINK
MINK1	50488	YSK2
MINK1	50488	ZC3
ARL5AP4		
GHRLOS		GHRL-AS1
GHRLOS		NCRNA00068
		
		
TBCC	6903	CFC
TCEA3	6920	TFIIS.H
RAB11B-AS1		MIR4999HG
UBE2Q2P8		
KAT2A	2648	GCN5
KAT2A	2648	GCN5L2
KAT2A	2648	PCAF-b
		
		
HCG4P8		HCGIV-08
HCG4P8		HCGIV-8
HCG4P8		HCGIV.7
CPEB1	64506	CPEB
CPEB1	64506	FLJ13203
HLA-G	3135	
CA6	765	
		
RLIMP2		
ANGPTL4	51129	ARP4
ANGPTL4	51129	FIAF
ANGPTL4	51129	HFARP
ANGPTL4	51129	NL2
ANGPTL4	51129	PGAR
ANGPTL4	51129	pp1158
		
LINC00687		C20orf61
LINC00687		dJ1012F16.1
PXDC1	221749	C6orf145
ABCF1	23	ABC50
ABCF1	23	EST123147
CATSPER2	117155	
		
ZNF736P5Y		
		
WBP4	11193	FBP21
WBP4	11193	MGC117310
		
		
		
LINC00852		C3orf42
LINC00852		GHRL-AS2
LINC00852		GHRLOS2
LINC00852		NAG73
		
		
RPS15	6209	MGC111130
RPS15	6209	RIG
RPS15	6209	S15
PTPMT1	114971	DUSP23
PTPMT1	114971	MOSP
PTPMT1	114971	PLIP
		
		
		
		
		
MRPS18B	28973	C6orf14
MRPS18B	28973	HSPC183
MRPS18B	28973	MRPS18-2
MRPS18B	28973	PTD017
		
FAM204DP		
		
		
		
		
ZDHHC22	283576	C14orf59
		
		
		
		
WBP1LP1		
		
		
TRBD1		TCRBD1
		
		
FAM225B		C9orf110
FAM225B		LINC00256B
FAM225B		NCRNA00256B
RASA3-IT1		
		
TMEM63C	57156	C14orf171
TMEM63C	57156	CSC1
TMEM63C	57156	DKFZp434P0111
TMEM63C	57156	hsCSC1
FGF9	2254	
TUBB7P		TUBB4Q
DUX4L9		
ZNF680	340252	FLJ90430
		
SMIM2-IT1		C13orf44-IT1
FRG2	448831	FRG2A
		
SMIM2	79024	C13orf44
SMIM2	79024	MGC5590
LSINCT5		
		
		
		
ATP8A2	51761	ATPIB
ATP8A2	51761	ML-1
TRBJ1-1		TCRBJ1S1
TRBJ1-1		TRBJ11
		
TRBJ1-2		TCRBJ1S2
TRBJ1-2		TRBJ12
		
		
		
KLHDC1	122773	MST025
		
FGF7P6		KGFLP1
SMIM2-AS1		C13orf44-AS1
		
		
HSD17B8	7923	D6S2245E
HSD17B8	7923	FABGL
HSD17B8	7923	H2-KE6
HSD17B8	7923	HKE6
HSD17B8	7923	KE6
HSD17B8	7923	RING2
HSD17B8	7923	SDR30C1
TRBV7-6		TCRBV6S3A1N1T
TRBV7-6		TCRBV7S6
TRBV7-6		TRBV76
TRBJ1-3		TCRBJ1S3
TRBJ1-3		TRBJ13
HLA-DQB1-AS1		
		
PPP1R10	5514	CAT53
PPP1R10	5514	FB19
PPP1R10	5514	p99
PPP1R10	5514	PNUTS
		
		
HLA-DQB1	3119	CELIAC1
HLA-DQB1	3119	HLA-DQB
HLA-DQB1	3119	IDDM1
ALOX12P1		ALOX12P
BNIP3P42		
		
PTPRZ1	5803	phosphacan
PTPRZ1	5803	PTP18
PTPRZ1	5803	PTPRZ
PTPRZ1	5803	PTPZ
PTPRZ1	5803	RPTPB
		
RAB11FIP4	84440	FLJ00131
RAB11FIP4	84440	KIAA1821
RAB11FIP4	84440	MGC11316
RAB11FIP4	84440	RAB11-FIP4
FAM50B	26240	D6S2654E
FAM50B	26240	X5L
		
RAB11B	9230	H-YPT3
ALDH16A1	126133	MGC10204
		
PANK1	53354	MGC24596
PANK1	53354	PANK
PANK1	53354	PANK1a
PANK1	53354	PANK1b
		
C9orf152	401546	bA470J20.2
		
LINC00390		TCONS_00021641
TCF7L1-IT1		
EVPLL	645027	
		
TCF7L1	83439	TCF3
	26240	
TMEM97P2		
PSMD10P1		dJ914P20.4
PSMD10P1		PSMD10P
TRBJ1-4		TCRBJ1S4
TRBJ1-4		TRBJ14
CIPC	85457	KIAA1737
IGLV3-30		
DPM1	8813	CDGIE
DPM1	8813	MPDS
LINC00424		
KLHL28	54813	BTBD5
KLHL28	54813	FLJ20081
FAM86GP		
		
BCRP4		BCR-4
BCRP4		BCR4
BCRP4		BCRL4
CRIP1P4		
MTND2P8		
TRBJ1-5		TCRBJ1S5
TRBJ1-5		TRBJ15
		
		
TRBJ1-6		TCRBJ1S6
TRBJ1-6		TRBJ16
RASA4DP		
SNRPCP5		
		
		
POM121L1P		POM121L1
NFKBIL1	4795	IKBL
NFKBIL1	4795	NFKBIL
		
		
		
		
		
IRX2	153572	
RPS3AP39		
VTRNA2-1		CBL-3
VTRNA2-1		hsa-mir-886
VTRNA2-1		hvg-5
VTRNA2-1		MIR886
VTRNA2-1		MIRN886
VTRNA2-1		nc886
VTRNA2-1		pre-miR-886
VTRNA2-1		VTRNA2
GGTLC2	91227	GGTL4
		
		
		
RPS24P14		
TOGARAM1	23116	crescerin
TOGARAM1	23116	Crescerin-1
TOGARAM1	23116	FAM179B
TOGARAM1	23116	KIAA0423
		
COX5B	1329	
DACT1	51339	DAPPER
DACT1	51339	DAPPER1
DACT1	51339	FRODO
DACT1	51339	HDPR1
DACT1	51339	THYEX3
		
BPY2C	9083	VCY2C
BPY2C	442867	VCY2C
BPY2C	442868	VCY2C
LINC02153		ENST00000517573
		
		
BICRAL	23506	GLTSCR1L
BICRAL	23506	KIAA0240
		
		
		
TTTY4C		LINC00125
AP4E1	23431	AP-4-EPSILON
AP4E1	23431	SPG51
		
		
		
		
TRBC1		BV05S1J2.2
TRBC1		TCRBC1
FGF7P7		
RPGRIP1	57096	CORD13
RPGRIP1	57096	LCA6
RPGRIP1	57096	RGI1
RPGRIP1	57096	RPGRIP
GSTA10P		GSTAP2
		
		
TRBJ2-1		TCRBJ2S1
TRBJ2-1		TRBJ21
		
LINC01189		
RTCB	51493	C22orf28
RTCB	51493	FAAP
RTCB	51493	HSPC117
		
		
SMAD5-AS1		DAMS
SMAD5-AS1		SMAD5OS
NPM1P42		
		
		
		
TDRP	157695	C8orf42
TDRP	157695	INM01
TDRP	157695	TDRP1
TDRP	157695	TDRP2
MTND3P1		
SMAD5	4090	Dwfc
SMAD5	4090	JV5-1
SMAD5	4090	MADH5
NME1P1		
ZNF736P4Y		
TRBV5-6		TCRBV5S2
TRBV5-6		TCRBV5S6
TRBV5-6		TRBV56
NPTX2	4885	
		
		
		
TRBV6-8		TCRBV13S7P
TRBV6-8		TCRBV6S8
TRBV6-8		TRBV68
		
DDX43P1		
LINC01500		
		
		
		
ADH5P2		
		
SFTA2	389376	SFTPG
TTTY17C		NCRNA00142
		
		
CUBNP2		
NT5C1A	84618	CN-I
NT5C1A	84618	CN-IA
NT5C1A	84618	CN1
NT5C1A	84618	CN1A
NT5C1A	84618	MGC119199
NT5C1A	84618	MGC119201
		
		
		
		
		
		
		
OR6D1P		
		
		
PRKAG2-AS1		
		
REEP4	80346	C8orf20
REEP4	80346	FLJ22246
REEP4	80346	FLJ22277
REEP4	80346	PP432
REEP4	80346	Yip2c
		
UGT2B15	7366	UGT2B8
CILP	8483	HsT18872
RBMY2YP		
		
CTAGE13P		
		
FUNDC2P4		
HPCAL4	51440	DKFZp761G122
HPCAL4	51440	HLP4
		
SNRPGP7		
		
AACSP1		AACSL
PRKAG2	51422	AAKG
PRKAG2	51422	AAKG2
PRKAG2	51422	CMH6
PRKAG2	51422	H91620p
PRKAG2	51422	WPWS
		
LINC01495		
OVCA2	124641	
		
CICP1		
FOLR1	2348	FOLR
FOLR1	2348	FR?
LINC00265-3P		NCRNA00265-3P
LINC00265-3P		NCRNA00265C
TRIM29	23650	ATDC
TRIM29	23650	FLJ36085
LINC00266-4P		NCRNA00266-4P
LINC00266-4P		NCRNA00266D
LINC00266-4P		NCRNA00266Y2
	394263	C6orf205
	394263	KMQK697
	394263	MUC-21
		
PLB1	151056	FLJ30866
PLB1	151056	PLB
DPH1	1801	DPH2L
DPH1	1801	DPH2L1
DPH1	1801	OVCA1
		
RPL5P3		HsT18216
		
		
LTK	4058	TYK1
		
OR13A1	79290	
OR2H2	7932	hs6M1-12
ADNP-AS1		
RPL13AP		dJ271M21.3
RPL13AP		RPL13Ap
		
		
OR2H5P		HS271M21
OR2H5P		hs6M1-13
OR2H5P		OR2H5
		
UBD	10537	FAT10
		
HBB	3043	beta-globin
HBB	3043	CD113t-C
SYCP2	10388	SCP2
UBE2Q2P5Y		UBE2Q2PY2
		
ADNP	23394	ADNP1
ADNP	23394	KIAA0784
CD2AP	23607	CMS
TMEM183AP1		BPG126D10.10
TMEM183AP1		OTTHUMG00000086663
NCR1	9437	CD335
NCR1	9437	LY94
NCR1	9437	NK-p46
NCR1	9437	NKP46
CNTNAP3P5		
		
		
		
GABBR1	2550	GPRC3A
GABBR1	2550	hGB1a
		
FANCF	2188	FAF
